id_persona_carico,cod_fiscale,fk_ruolo,num_mesi_appartenenza,num_percentuale_appartenenza,flg_minore_3_anni,flg_a_carico,flg_null_mesi,flg_null_appartenenza,flg_appartenenza_c
9800499,SPSSRA00E63D855P,,6,100,,1,0,0,0
9800000,FRRSFN01B19H622S,,12,50,,1,0,0,0
9800001,SPSFNC99S62F241H,,12,50,,1,0,0,0
9800002,CNTMTT12A27B132M,,12,50,,1,0,0,0
9800003,CNTSFO20R67I207K,,6,50,1,1,0,0,0
9800004,MRNPLA07T22F011L,,0,0,,0,1,1,
9800005,FNTSFO10P61B524F,,6,100,,1,0,0,0
9800006,SPSMRC01H23L567S,,12,100,,1,0,0,0
9800007,CSTLNE15S43B886B,,12,100,,1,0,0,0
9800008,RSSPLA01T17F921R,,6,100,,1,0,0,0
9800009,SPSGLI17M55C370N,,6,50,,1,0,0,0
9800010,RSSMTT09A11G408T,,0,0,,0,1,1,
9800011,GRCMTN11H67D956E,,12,50,,1,0,0,0
9800012,RSSSFN00H19I821A,,12,50,,1,0,0,0
9800013,FNTLRA18M53L058W,,12,50,,1,0,0,0
9800014,GRCNDR12S28E502E,,6,50,,1,0,0,0
9800015,SPSVNT12T64B107O,,12,50,,1,0,0,0
9800016,BRBLCU12T12F360J,,0,0,,0,1,1,
9800017,FRRLNE98E63C384V,,6,100,,1,0,0,0
9800018,LMBLSN12H14D442U,,6,50,,1,0,0,0
9800019,BRNMRT12M64A438L,,12,50,,1,0,0,0
9800020,LMBLCU19H17A837R,,12,50,,1,0,0,0
9800021,CSTLRA17D47E708Z,,6,100,,1,0,0,0
9800022,FNTMRC05S07C544F,,0,0,,0,1,1,
9800023,BRNLNE00P43C605S,,12,50,,1,0,0,0
9800024,MRTSFN13P27E731T,,12,100,,1,0,0,0
9800025,SPSSFO09H60B511U,,6,50,,1,0,0,0
9800026,BRNNCL14L21G565D,,6,50,,1,0,0,0
9800027,GRCMTN17B45H580U,,6,50,,1,0,0,0
9800028,LMBNCL08H28G943U,,0,0,,0,1,1,
9800029,GLLMRT15P54E403Z,,6,50,,1,0,0,0
9800030,FRRNDR13R13B403H,,6,100,,1,0,0,0
9800033,FNTMRT02A60G224Y,,6,50,,1,0,0,0
9800034,RZZSFN05D01C890D,,12,100,,1,0,0,0
9800035,FNTVNT12H69D680M,,6,100,,1,0,0,0
9800036,BRBDVD22E09I375W,,0,0,1,0,1,1,
9800037,LMBCHR03M42B546W,,12,50,,1,0,0,0
9800038,GLLLCU15C20H356S,,6,100,,1,0,0,0
9800039,FNTFRC21S69D317Q,,12,100,1,1,0,0,0
9800040,GRCPLA09C09H131P,,6,50,,1,0,0,0
9800041,FRRMTN99A68E071I,,12,100,,1,0,0,0
9800042,CSTNDR99S14L700A,,0,0,,0,1,1,
9800045,BRNVNT02R66E588U,,6,100,,1,0,0,0
9800046,BNCPLA05D01A471M,,12,100,,1,0,0,0
9800047,MRTMTN20A54M032Y,,12,50,1,1,0,0,0
9800048,RZZLSN15R28G776R,,6,50,,1,0,0,0
9800049,CSTSFO07M50I563F,,6,50,,1,0,0,0
9800051,SPSGRL17D10I347G,,0,0,,0,1,1,
9800052,CNTSRA11S47D330S,,6,100,,1,0,0,0
9800053,RZZMRC18T15F922B,,12,50,,1,0,0,0
9800054,GRCNNA99D56I120C,,12,100,,1,0,0,0
9800055,RZZMRC08L08I414A,,6,100,,1,0,0,0
9800056,RZZVNT14A63L248T,,6,50,,1,0,0,0
9800057,GRCSMN09M28I531M,,0,0,,0,1,1,
9800058,SPSFNC07S64A982V,,6,50,,1,0,0,0
